timestamp,outside_temperature_c,outside_humidity_percent,wind_speed_kmh,wind_direction_degrees,inside_temperature_c,inside_humidity_percent,hourly_rainfall_mm,pressure_kpa
2026-09-26T00:00:22,13.3,76.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:01:23,16.2,76.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:02:22,16.1,76.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:03:22,16.0,77.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:04:23,13.9,77.0,0.9,293,27.0,47.0,0.0,993.0
2026-09-26T00:06:39,15.7,78.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:07:23,15.7,78.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:08:22,15.7,78.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:09:22,15.7,78.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:10:23,15.7,78.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:11:22,13.7,78.0,0.0,293,26.9,47.0,0.0,993.0
2026-09-26T00:12:22,13.7,79.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:13:23,13.0,79.0,0.0,293,27.0,47.0,0.0,993.0
2026-09-26T00:14:22,15.5,79.0,0.0,293,27.0,47.0,0.0,993.0
